scientific_name,L_value,T_value,F_value,R_value,N_value,S_value
Plantago crassifolia,8.67,9.33,7.33,8.3,,5.0
Plantago cretica,7.0,11.0,4.0,8.0,5.0,0.0
Plantago gentianoides,,,7.0,,,
Plantago holosteum,8.67,7.25,3.67,6.0,2.67,0.5
Plantago lagopus,8.0,9.67,3.5,7.0,5.5,0.5
Plantago lanceolata,7.05,5.29,4.51,5.9,4.81,0.25
Plantago macrorhiza,9.0,9.5,4.0,7.5,4.5,4.0
Plantago major,7.29,,,5.8,5.89,0.5
Plantago maritima,8.25,5.58,,7.1,4.07,6.0
Plantago maxima,8.0,5.5,6.12,6.0,4.0,0.0
Plantago media,7.54,5.35,4.06,6.8,2.86,0.0
Plantago monosperma,8.0,1.0,5.0,2.0,2.0,0.0
Plantago schwarzenbergiana,9.0,8.0,4.0,8.0,2.0,7.0
Plantago sempervirens,9.0,7.33,2.0,7.0,2.0,0.0
Plantago serraria,9.0,10.0,2.0,7.0,1.0,0.0
Plantago squarrosa,9.0,12.0,1.0,9.0,6.0,3.0
Plantago subulata,8.5,,3.0,,1.75,0.0
Plantago tenuiflora,8.0,5.88,6.0,8.0,2.0,8.5
Plantago uniflora,7.4,5.4,9.83,5.4,2.2,0.4
Plantago weldenii,8.5,9.5,5.0,7.5,6.5,3.5
Platanthera algeriensis,8.0,8.0,8.0,8.0,2.0,0.0
Platanthera bifolia,6.28,5.12,,6.6,3.17,0.0
Platanthera bifolia aggr.,6.0,6.0,5.0,6.0,4.0,0.0
Platanthera chlorantha,6.17,4.75,,6.5,3.5,0.0
Platanus orientalis,7.67,8.75,7.33,6.3,5.33,0.0
Platycapnos spicata,8.0,8.0,4.5,7.0,5.5,0.0
Platycapnos tenuiloba,8.0,8.0,5.0,8.0,6.0,0.0
Pleurospermum austriacum,5.08,3.71,5.88,7.0,5.6,0.0
Plumbago europaea,7.67,9.25,3.33,6.0,,0.5
Poa alpigena,8.0,2.0,5.0,8.0,2.0,0.0
Poa alpina,7.4,2.73,,6.0,,0.0
Poa arctica,,,5.0,,,
Poa badensis aggr.,8.62,6.9,2.4,8.3,1.5,0.0
Poa balbisii,8.5,4.0,4.5,3.5,2.0,0.0
Poa bivonae,9.0,4.0,3.0,7.0,2.0,0.0
Poa bulbosa,8.22,6.78,2.83,5.4,2.04,0.62
Poa cenisia,8.25,,4.8,,2.67,0.0
Poa chaixii,6.44,,,3.7,3.86,0.0
Poa compressa,8.88,5.79,3.0,7.6,2.57,0.17
Poa feratiana,7.0,5.0,8.0,5.0,5.0,0.0
Poa flaccidula,8.0,7.5,4.0,8.0,3.0,0.0
Poa flexuosa,8.0,,5.0,3.0,2.0,0.0
Poa glauca,8.25,2.44,,,1.67,0.0
Poa granitica,8.0,3.0,7.25,,,
Poa hybrida,6.12,3.45,6.19,6.0,7.0,0.0
Poa laxa,7.67,1.25,5.33,3.3,2.0,0.0
Poa ligulata,9.0,5.0,1.0,7.0,1.0,0.0
Poa longifolia,7.0,4.25,6.75,,,
Poa media,,,5.0,,,
Poa minor,8.67,2.0,4.0,7.3,1.67,0.0
Poa nemoralis,,,5.39,6.0,4.05,0.0
Poa palustris,6.93,5.07,8.44,7.0,6.67,0.17
Poa pannonica,7.0,6.0,4.0,5.0,3.0,0.0
Poa pelasgis,8.0,,4.0,7.0,,0.0
Poa perconcinna,8.0,4.5,6.0,4.0,3.0,0.0
Poa perligularis,9.0,9.0,4.0,7.0,4.0,4.0
Poa pratensis,7.0,4.25,8.5,,,
Poa pratensis aggr.,7.07,5.1,,,,0.29
Poa pumila,9.0,3.5,4.0,4.0,1.0,0.0
Poa remota,5.25,5.46,7.25,6.8,6.6,0.0
Poa stepposa,7.5,4.5,5.0,,,
Poa sterilis,7.5,5.5,4.5,,,
Poa stiriaca,,4.0,,,,
Poa taurica,7.5,5.25,6.5,,,
Poa thessala,8.4,5.6,4.0,5.8,2.5,0.0
Poa timoleontis,9.0,,3.0,8.0,5.0,0.0
Poa trivialis,,,6.57,6.0,6.32,0.38
Poa versicolor,8.0,5.0,5.0,,,
Polemonium acutiflorum,,,5.0,,,
Polemonium caeruleum,6.42,3.71,,7.2,6.2,0.0
Polycarpon polycarpoides,8.5,9.5,4.5,5.5,5.0,5.0
Polycarpon tetraphyllum,8.61,,3.05,5.6,5.43,0.29
Polycnemum arvense,8.42,6.82,3.29,6.4,3.4,0.0
Polycnemum heuffelii,9.0,8.0,2.0,5.0,1.0,0.0
Polycnemum majus,8.3,6.79,3.45,7.8,4.0,0.0
Polycnemum verrucosum,7.33,8.0,3.33,6.0,3.33,0.0
Polygala alpestris,7.83,2.71,3.88,7.0,2.0,0.0
Polygala alpina,8.67,3.0,4.0,7.0,1.67,0.0
Polygala amara,8.08,4.0,,8.2,2.0,0.0
Polygala amara aggr.,8.0,5.0,6.0,8.0,2.0,0.0
Polygala amarella,8.5,4.71,7.71,8.4,1.57,0.0
Polygala apiculata,9.0,8.0,2.0,7.0,2.0,0.0
Polygala boissieri,7.9,3.3,3.7,6.6,3.4,0.0
Polygala calcarea,7.33,6.67,3.0,8.7,2.0,0.0
Polygala carueliana,7.0,4.0,3.0,7.0,2.0,0.0
Polygala chamaebuxus,6.0,3.6,3.4,7.8,2.25,0.0
Polygala comosa,7.97,5.62,,8.0,2.4,0.0
Polygala cretacea,8.5,5.25,4.5,,,
Polygala edmundi,9.0,3.0,4.0,4.0,1.0,
Polygala exilis,8.0,8.0,5.0,7.0,1.0,0.0
Polygala flavescens,8.0,7.0,2.5,6.5,2.0,0.0
Polygala helenae,7.0,11.0,2.0,7.0,2.0,0.0
Polygala major,8.25,6.9,3.62,7.3,2.33,0.0
Polygala microphylla,9.0,6.0,4.0,1.0,1.0,
Polygala monspeliaca,8.33,8.75,4.0,7.7,2.67,0.5
Polygala multicaulis,7.0,5.0,5.0,3.0,3.0,0.0
Polygala nicaeensis,,7.0,,,,
Polygala nicaeensis aggr.,7.78,6.75,3.44,7.3,1.67,0.0
Polygala pedemontana,7.0,5.0,3.0,7.0,2.0,0.0
Polygala preslii,9.0,5.0,3.0,2.0,2.0,0.0
Polygala rupestris,8.0,8.0,2.0,8.0,3.0,0.0
Polygala sardoa,9.0,8.0,2.0,7.0,2.0,0.0
Polygala serpyllifolia,8.17,4.33,6.29,2.2,1.83,0.0
Polygala sibirica,8.0,5.0,4.25,,,
Polygala supina,7.5,5.5,6.0,,,
Polygala venulosa,7.0,11.0,3.0,8.0,3.0,0.0
Polygala vulgaris,7.56,4.9,,,2.15,0.0
Polygonatum hirtum,4.12,6.25,5.25,7.0,5.0,0.0
Polygonatum multiflorum,,,5.22,6.6,4.86,0.0
Polygonatum odoratum,6.5,,3.69,7.3,3.0,0.0
Polygonatum verticillatum,,,,5.0,5.0,0.0
Polygonum arenarium,8.3,,3.8,6.9,,2.0
Polygonum aschersonianum,8.5,5.75,5.5,,,
Polygonum aviculare aggr.,7.62,,,6.5,6.29,0.72
Polygonum bellardii,7.75,,3.0,6.8,5.75,0.0
Polygonum equisetiforme,9.0,10.5,5.5,7.0,6.0,5.0
Polygonum graminifolium,8.0,7.0,4.0,6.0,4.0,0.0
Polygonum idaeum,8.0,7.0,7.0,7.0,7.0,0.0
Polygonum longipes,8.0,,6.0,7.0,7.0,0.0
Polygonum maritimum,8.9,,,6.5,5.0,3.5
Polygonum novoascanicum,8.1,7.4,4.4,7.2,2.5,0.4
Polygonum oxyspermum,9.0,,6.0,7.0,8.0,3.0
Polygonum patulum,8.75,6.75,3.25,7.0,1.0,3.0
Polygonum raii,8.5,5.0,6.0,7.0,7.5,4.5
Polygonum robertii,8.0,7.0,4.5,6.5,4.5,3.5
Polygonum romanum,9.0,9.5,,6.0,2.5,0.0
Polygonum scoparium,8.5,9.0,5.5,5.5,5.0,1.5
Polypodium cambricum,,9.25,4.5,6.3,3.25,0.0
Polypodium interjectum,5.86,,4.29,,3.4,0.0
Polypodium vulgare,5.5,,4.91,3.8,2.83,0.0
Polypodium vulgare aggr.,6.0,5.0,4.0,6.0,3.0,0.0
Polypogon maritimus,8.25,,6.0,7.0,5.75,4.5
Polypogon monspeliensis,8.0,8.75,8.0,7.0,6.0,1.0
Polypogon subspathaceus,8.0,9.0,6.33,7.5,6.0,2.0
Polypogon viridis,7.83,,7.04,,,0.75
Polystichum aculeatum,3.56,5.53,5.97,6.6,6.14,0.0
Polystichum braunii,3.08,4.25,5.96,5.4,6.8,0.0
Polystichum lonchitis,6.44,,5.14,7.9,3.5,0.0
Polystichum setiferum,,,6.08,5.7,5.25,0.0
Pontechium maculatum,8.33,7.08,3.17,8.0,2.0,0.0
Populus alba,6.0,,6.42,7.5,6.12,0.12
Populus nigra,6.11,6.37,7.94,7.1,6.85,0.0
Populus tremula,6.72,5.17,5.33,5.0,4.8,0.0
Portulaca oleracea,7.5,,3.66,6.9,7.0,0.33
Portulaca oleracea aggr.,8.0,8.0,4.0,7.0,7.0,2.0
Portulaca sativa,8.0,8.0,4.0,7.0,7.0,2.0
Posidonia oceanica,5.67,,12.0,8.3,6.67,8.33
Potamogeton acutifolius,7.0,,11.79,6.0,5.33,0.17
Potamogeton alpinus,7.0,3.93,11.71,6.0,4.83,0.33
Potamogeton berchtoldii,6.67,5.58,12.0,,5.33,0.5
Potamogeton coloratus,7.83,6.25,11.14,7.8,,0.0
Potamogeton compressus,6.79,5.07,11.86,7.2,4.33,0.17
Potamogeton crispus,5.88,,11.88,,,0.67
Potamogeton epihydrus,8.0,,12.0,5.0,1.0,0.0
Potamogeton friesii,6.67,5.75,11.5,6.6,5.4,0.2
Potamogeton gramineus,7.5,,11.91,,3.89,0.0
Potamogeton lucens,6.12,,11.89,6.6,7.14,0.14
Potamogeton natans,6.38,4.5,11.33,,,0.17
Potamogeton nodosus,6.44,,11.89,,5.12,0.14
Potamogeton obtusifolius,6.5,5.57,11.94,6.0,5.83,0.0
Potamogeton perfoliatus,6.0,4.5,11.89,6.4,4.88,0.43
Potamogeton polygonifolius,7.67,5.83,10.86,3.2,2.5,0.0
Potamogeton praelongus,7.5,4.25,11.86,7.6,4.4,0.4
Potamogeton pusillus,6.5,,11.88,6.8,7.0,1.0
Potamogeton pusillus aggr.,6.0,5.5,12.0,8.0,6.0,1.0
Potamogeton rutilus,7.12,4.33,11.88,7.7,5.0,0.0
Potamogeton sarmaticus,6.5,5.5,11.5,,,
Potamogeton schweinfurthii,6.0,3.0,12.0,7.0,3.0,0.0
Potamogeton trichoides,7.22,,11.61,,5.0,0.14
Potentilla alba,6.25,6.18,4.46,5.8,4.6,0.0
Potentilla alchimilloides,9.0,3.0,3.0,8.0,1.0,0.0
Potentilla alpicola,9.0,7.5,3.0,7.0,3.0,
Potentilla alsatica,9.0,8.0,,,,
Potentilla anglica,7.1,,5.83,5.8,3.6,0.0
Potentilla apennina,9.0,3.0,2.0,9.0,2.0,0.0
Potentilla argentea,8.56,,2.66,4.4,1.57,0.0
Potentilla astracanica,8.25,5.0,5.12,,,
Potentilla asturica,9.0,4.0,3.0,4.0,1.0,
Potentilla aurea,8.0,2.71,4.65,3.0,2.25,0.0
Potentilla bornmuelleri,,6.25,4.75,,,
Potentilla brauneana,7.0,1.5,7.0,9.0,5.0,0.0
Potentilla calabra,9.0,4.0,3.0,4.0,3.0,0.0
Potentilla carniolica,,8.0,,,,
Potentilla caulescens,8.0,3.5,3.0,8.0,3.0,0.0
Potentilla cinerea,9.0,,3.33,,1.67,0.0
Potentilla clusiana,8.0,2.0,3.0,8.0,2.0,0.0
Potentilla collina,7.88,6.8,2.69,4.0,2.33,0.0
Potentilla collina aggr.,,8.0,,,,
Potentilla crantzii,8.43,2.93,,7.7,1.8,0.0
Potentilla crassinervia,7.0,4.0,2.0,2.0,2.0,0.0
Potentilla delphinensis,8.0,2.0,5.0,4.0,3.0,0.0
Potentilla detommasii,9.0,7.0,3.0,7.0,3.0,0.0
Potentilla erecta,6.5,4.83,6.75,3.8,2.25,0.0
Potentilla frigida,8.33,1.0,4.67,2.3,1.0,0.0
Potentilla grammopetala,7.0,2.5,4.0,2.0,2.0,0.0
Potentilla grandiflora,8.33,2.5,3.67,3.3,2.0,0.0
Potentilla haynaldiana,7.9,2.5,4.8,3.1,1.6,0.0
Potentilla heptaphylla,7.08,5.71,3.42,8.4,2.6,0.0
Potentilla hirta,9.0,,3.88,7.0,3.0,0.0
Potentilla humifusa,7.75,4.38,4.75,,,
Potentilla incana,8.62,6.55,2.0,8.0,1.33,0.0
Potentilla inclinata,8.58,,3.38,6.1,2.1,0.0
Potentilla indica,5.5,7.0,5.5,6.0,6.5,0.0
Potentilla intermedia,7.7,5.67,3.6,7.0,4.25,0.0
Potentilla johanniniana,9.0,7.5,3.0,7.0,3.0,
Potentilla leucopolitana,8.0,6.67,3.5,6.0,2.0,0.0
Potentilla micrantha,5.57,6.91,4.14,7.0,3.67,0.0
Potentilla montana,9.0,4.0,4.0,7.0,1.0,0.0
Potentilla multifida,7.0,2.0,4.0,5.0,7.0,0.0
Potentilla nitida,9.0,2.0,2.0,9.0,2.0,0.0
Potentilla nivalis,9.0,2.0,3.0,7.0,1.0,
Potentilla nivea,8.5,1.33,4.0,6.5,2.0,0.0
Potentilla norvegica,7.1,,5.75,5.0,5.0,0.25
Potentilla patula,8.0,6.58,3.33,7.0,2.0,0.5
Potentilla pedata,8.0,6.5,3.5,8.0,2.0,0.0
Potentilla pensylvanica,7.0,4.5,4.0,3.0,7.0,0.0
Potentilla praecox,,8.0,,,,
Potentilla pusilla,8.25,6.2,2.25,7.3,1.33,0.0
Potentilla pyrenaica,8.0,2.0,5.0,2.0,2.0,0.0
Potentilla recta,8.53,6.93,3.39,6.4,2.2,0.0
Potentilla reptans,6.6,,,6.9,5.22,0.38
Potentilla rhenana,9.0,8.0,2.0,2.0,1.0,0.0
Potentilla rigoana,7.7,4.8,3.8,6.6,3.2,0.0
Potentilla saxifraga,5.0,6.0,3.0,7.0,2.0,0.0
Potentilla speciosa,8.0,8.0,3.0,7.0,4.0,0.0
Potentilla sterilis,5.67,5.67,4.71,6.2,5.0,0.0
Potentilla supina,7.67,6.5,7.5,5.4,6.4,0.8
Potentilla tabernaemontani,7.4,6.4,3.0,6.2,1.8,0.0
Potentilla tabernaemontani aggr.,8.0,6.5,3.0,6.0,2.0,0.0
Potentilla thuringiaca,6.62,,4.44,6.0,2.33,0.0
Potentilla thyrsiflora,7.17,5.67,4.25,6.0,2.0,0.0
Potentilla tommasiniana,9.0,7.0,3.0,7.0,3.0,
Potentilla valderia,7.0,2.33,4.0,2.5,2.0,0.0
Potentilla wimanniana,7.0,6.0,4.0,6.0,2.0,0.0
Prangos ferulacea,9.0,8.0,2.0,7.0,2.0,0.0
Prangos odontalgica,8.5,5.0,4.5,,,
Prangos trifida,8.5,,3.67,7.0,4.5,0.0
Prasium majus,8.5,9.67,3.0,6.5,5.0,0.33
Prenanthes purpurea,4.17,4.26,5.32,5.0,5.2,0.0
Primula acaulis,5.72,,5.62,6.6,4.75,0.0
Primula albenensis,,4.0,,,,
Primula allionii,4.0,4.0,7.0,7.0,3.0,0.0
Primula auricula,7.75,3.25,4.67,8.3,2.0,0.0
Primula carniolica,,5.0,,,,
Primula clusiana,8.0,2.0,5.0,8.0,2.0,0.0
Primula daonensis,9.0,2.5,4.0,2.0,2.0,0.0
Primula deorum,,,7.0,,,
Primula elatior,,4.92,5.82,7.3,,0.0
Primula farinosa,8.22,3.29,8.15,8.4,1.88,0.0
Primula frondosa,,,8.0,,,
Primula glaucescens,7.0,3.5,4.0,7.0,2.0,0.0
Primula glutinosa,8.5,1.33,4.5,1.5,1.0,0.0
Primula grignensis,,2.0,,,,
Primula halleri,8.33,2.5,5.06,8.0,2.0,0.0
Primula hirsuta,8.0,2.0,5.0,2.5,2.0,0.0
Primula integrifolia,8.0,1.5,5.75,2.7,2.67,0.0
Primula latifolia,8.0,2.0,4.0,3.0,2.0,0.0
Primula marginata,7.0,2.5,4.0,7.0,2.0,0.0
Primula minima,8.25,1.95,5.3,1.7,1.67,0.0
Primula nutans,,,6.0,,,
Primula palinuri,7.0,10.0,3.0,7.0,1.0,0.0
Primula pedemontana,8.0,2.5,5.0,2.0,2.0,0.0
Primula recubariensis,,3.0,,,,
Primula scandinavica,,,6.0,,,
Primula scotica,9.0,,4.0,7.0,2.0,1.0
Primula spectabilis,7.0,4.0,4.0,7.0,2.0,0.0
Primula stricta,,,6.0,,,
Primula tyrolensis,6.0,3.0,7.0,7.0,2.0,0.0
Primula veris,7.28,,3.88,7.8,2.88,0.0
Primula villosa,8.0,2.9,4.0,2.0,2.0,0.0
Primula wulfeniana,6.0,3.5,4.0,7.0,2.0,0.0
Prospero autumnale,8.43,,,6.8,,0.75
Prospero battagliae,8.0,9.0,7.0,6.0,6.0,0.0
Prospero depressum,8.0,9.0,7.0,6.0,6.0,0.0
Prospero idaeum,8.0,8.0,7.0,6.0,6.0,0.0
Prospero obtusifolium,8.0,9.5,4.0,4.0,2.5,0.0
Prospero talosii,,11.0,2.0,8.0,6.0,
Prunella cretensis,7.0,,5.0,7.0,4.0,0.0
Prunella grandiflora,7.5,5.18,3.25,7.6,2.71,0.0
Prunella hyssopifolia,8.67,6.75,,5.7,3.33,0.0
Prunella laciniata,7.62,,3.39,7.7,2.71,0.0
Prunella vulgaris,6.8,,5.61,5.8,,0.12
Prunus avium,,,5.25,6.6,5.0,0.0
Prunus brigantina,7.0,5.0,5.0,5.5,3.5,0.0
Prunus cerasifera,6.8,6.4,5.08,6.0,5.5,0.0
Prunus cocomilia,5.0,4.0,5.0,5.0,5.0,0.0
Prunus discolor,9.0,12.0,1.0,8.0,5.0,1.0
Prunus domestica,7.3,6.42,4.83,7.0,4.75,0.0
Prunus dulcis,8.0,9.0,5.0,7.0,6.0,0.0
Prunus fruticosa,7.92,7.14,3.33,8.0,3.33,0.0
Prunus laurocerasus,,7.0,5.5,5.0,5.5,0.0
Prunus lusitanica,7.5,8.0,6.0,4.0,2.5,0.0
Prunus mahaleb,7.29,6.5,3.07,8.0,2.33,0.0
Prunus padus,5.69,,7.34,6.8,5.79,0.0
Prunus prostrata,8.0,,2.33,6.0,3.67,0.0
Prunus serotina,5.6,6.38,5.25,4.0,4.0,0.0
Prunus spinosa,7.17,,4.04,6.4,,0.14
Prunus tenella,7.75,6.56,3.56,8.0,3.33,0.0
Prunus webbii,8.5,9.5,2.5,7.0,5.0,0.0
Psathyrostachys juncea,,8.0,,,,
Psephellus declinatus,7.5,5.25,5.25,,,
Psephellus marschallianus,7.5,5.0,4.0,,,
Psephellus sumensis,7.0,4.75,5.5,,,
Psephellus trinervius,,,4.75,,,
Pseudarrhenatherum longifolium,8.5,6.5,4.5,2.5,1.5,0.0
Pseudoarabidopsis toxophylla,8.5,5.5,5.5,,,
Pseudofumaria alba,5.5,6.0,6.0,7.5,5.5,0.0
Pseudofumaria lutea,5.5,6.33,5.83,8.2,5.0,0.0
Pseudopodospermum crocifolium,8.0,11.0,3.0,8.0,3.0,1.0
Pseudopodospermum elatum,6.0,11.0,4.0,8.0,4.0,1.0
Pseudopodospermum hispanicum,7.62,,3.56,7.8,2.83,0.0
Pseudopodospermum molle,8.75,6.12,4.62,8.0,4.0,0.0
Pseudopodospermum undulatum,8.0,8.0,3.0,6.0,3.0,0.0
Pseudorchis albida,8.0,3.59,5.25,,2.14,0.0
Pseudorlaya minuscula,9.0,10.0,2.0,2.0,1.0,3.0
Pseudorlaya pumila,9.0,10.0,3.33,7.0,4.67,3.0
Pseudoscabiosa limonifolia,7.0,10.0,1.0,,1.0,0.0
Pseudosclerochloa rupestris,8.5,6.0,7.0,6.5,4.5,4.0
Pseudostellaria europaea,7.0,6.5,8.0,3.0,4.0,0.0
Pseudoturritis turrita,5.94,6.67,3.88,7.6,3.86,0.0
Psilurus incurvus,8.17,,3.25,4.0,2.5,0.5
Pteridium aquilinum,6.44,,5.19,3.4,3.0,0.0
Pteridium pinetorum,,5.0,,,,
Pteris cretica,6.0,8.5,4.0,4.0,2.0,0.0
Pteris vittata,3.5,10.33,8.0,5.0,3.5,0.0
Pterocephalus brevis,9.0,12.0,,9.0,4.0,1.0
Pterocephalus perennis,8.0,6.2,3.8,7.0,2.3,0.1
Pterocephalus plumosus,8.0,11.0,3.0,8.0,4.0,0.0
Ptilostemon afer,8.6,5.6,4.1,6.8,2.3,0.0
Ptilostemon casabonae,9.0,8.0,3.5,6.0,6.0,0.0
Ptilostemon chamaepeuce,7.0,11.0,4.0,8.0,3.0,1.0
Ptilostemon echinocephalus,8.5,6.25,3.5,,,
Ptilostemon gnaphaloides,7.0,10.5,3.5,8.0,2.0,0.0
Ptilostemon niveus,9.0,5.0,2.0,7.0,1.0,0.0
Ptilostemon stellatus,8.5,10.5,3.0,7.5,4.0,0.0
Ptilostemon strictus,5.0,5.0,4.0,7.0,3.0,0.0
Ptychotis sardoa,7.0,10.0,2.0,7.0,2.0,0.0
Ptychotis saxifraga,7.0,7.5,2.0,3.0,2.0,0.0
Puccinellia bilykiana,8.5,5.5,6.0,,,
Puccinellia capillaris,9.0,6.0,8.0,7.0,4.0,7.0
Puccinellia distans,8.5,,6.62,7.1,5.64,6.69
Puccinellia dolicholepis,8.5,5.5,5.5,,,
Puccinellia fasciculata,8.0,6.0,7.0,7.3,7.0,6.67
Puccinellia festuciformis,8.89,10.0,7.44,7.7,6.67,6.67
Puccinellia foucaudii,8.0,6.0,7.0,6.0,4.0,3.0
Puccinellia gigantea,8.5,5.25,6.5,,,
Puccinellia maritima,8.67,5.5,8.33,7.3,6.0,7.33
Puccinellia peisonis,9.0,8.0,7.0,7.0,4.0,7.0
Puccinellia tenuifolia,8.0,9.0,8.0,8.0,7.0,8.0
Pueraria montana,,9.0,,,,
Pulicaria arabica,8.0,11.0,4.0,8.0,,1.0
Pulicaria dysenterica,7.88,,6.93,7.0,5.11,1.0
Pulicaria odora,7.0,8.8,4.5,6.0,3.0,0.0
Pulicaria sicula,8.5,8.67,8.0,5.5,5.5,0.0
Pulicaria vulgaris,8.44,,7.81,6.3,6.88,0.67
Pulmonaria affinis,6.0,6.0,5.5,4.0,5.0,0.0
Pulmonaria angustifolia,5.5,6.54,4.85,6.3,3.5,0.0
Pulmonaria apennina,,6.0,,,,
Pulmonaria australis,9.0,3.5,4.0,4.0,3.0,0.0
Pulmonaria carnica,,4.0,,,,
Pulmonaria collina,5.0,5.67,5.0,8.0,4.0,0.0
Pulmonaria filarszkyana,6.0,3.5,6.75,,,
Pulmonaria helvetica,,6.0,,,,
Pulmonaria hirta,4.0,4.0,6.0,6.0,6.0,0.0
Pulmonaria kerneri,,4.0,,,,
Pulmonaria longifolia,7.0,,4.5,5.3,4.33,0.0
Pulmonaria mollis,5.33,,5.0,8.0,4.5,0.0
Pulmonaria montana,6.0,5.78,5.0,6.0,5.0,0.0
Pulmonaria obscura,4.0,5.08,6.04,7.8,7.0,0.0
Pulmonaria officinalis,4.83,,5.42,7.2,6.0,0.0
Pulmonaria officinalis aggr.,4.0,6.5,5.0,7.0,6.0,0.0
Pulmonaria rubra,5.4,4.9,5.9,6.1,5.2,0.0
Pulmonaria saccharata,6.0,4.17,5.0,6.0,4.0,0.0
Pulmonaria stiriaca,,5.0,,,,
Pulmonaria vallarsae,4.0,4.5,6.0,6.0,6.0,0.0
Pulsatilla alpina,8.23,2.73,,,2.29,0.0
Pulsatilla halleri,7.25,,3.94,6.0,3.0,0.0
Pulsatilla montana,7.0,6.5,3.0,6.0,3.0,0.0
Pulsatilla patens,7.0,6.0,3.33,6.0,2.0,0.0
Pulsatilla pratensis,7.5,5.94,3.33,7.0,2.0,0.0
Pulsatilla rubra,8.67,,3.83,7.2,1.5,0.0
Pulsatilla vernalis,7.44,3.6,4.0,3.8,1.83,0.0
Pulsatilla vulgaris,8.07,6.2,3.11,7.8,1.92,0.0
Punica granatum,8.0,8.33,4.5,7.0,4.5,0.0
Puschkinia scilloides,,6.0,,,,
Putoria calabrica,7.0,9.0,3.0,6.5,2.5,0.5
Pyracantha coccinea,7.33,7.25,4.67,6.0,3.5,0.0
Pyrola carpatica,8.2,1.8,6.3,7.4,2.5,0.0
Pyrola chlorantha,4.67,5.04,4.46,4.8,2.2,0.0
Pyrola media,4.0,4.38,4.25,4.7,2.14,0.0
Pyrola minor,,,,3.5,2.0,0.0
Pyrola rotundifolia,4.25,3.96,6.11,5.4,3.07,0.14
Pyrus bourgaeana,6.8,7.7,4.6,5.1,5.3,0.0
Pyrus communis,6.12,6.01,5.02,,,0.0
Pyrus cordata,6.75,7.67,5.0,4.0,3.25,0.0
Pyrus elaeagrifolia,7.0,6.25,5.5,,,
Pyrus magyarica,6.0,6.0,4.0,8.0,4.0,0.0
Pyrus nivalis,6.5,,4.5,6.5,3.17,0.0
Pyrus spinosa,7.5,8.33,4.33,6.5,4.0,0.0
Quercus aucheri,,12.0,4.0,8.0,,1.0
Quercus canariensis,7.0,7.0,5.0,5.0,5.0,0.0
Quercus cerris,6.43,7.57,4.36,5.7,4.6,0.0
Quercus coccifera,,9.25,3.83,5.7,4.25,0.0
Quercus congesta,7.0,7.0,4.5,5.0,4.5,0.0
Quercus crenata,8.0,7.5,4.0,6.0,5.0,0.0
Quercus dalechampii,6.25,6.8,4.38,5.7,3.33,0.0
Quercus faginea,9.0,7.0,1.0,8.0,1.0,0.0
Quercus frainetto,6.5,,5.5,5.8,5.0,0.0
Quercus ilex,,8.86,3.43,6.0,4.0,0.17
Quercus infectoria,5.0,11.0,6.0,8.0,,1.0
Quercus ithaburensis,6.33,9.0,4.67,6.3,4.67,0.33
Quercus orocantabrica,9.0,7.0,5.0,1.0,1.0,
Quercus pauciradiata,9.0,5.0,2.0,7.0,1.0,
Quercus petraea,6.69,,5.14,,,0.0
Quercus petraea aggr.,6.0,6.0,5.0,5.0,4.0,0.0
Quercus pubescens,6.81,,3.91,6.9,3.5,0.0
Quercus pyrenaica,8.5,6.5,4.5,3.5,2.5,0.0
Quercus robur,6.94,,5.69,5.0,,0.0
Quercus rotundifolia,8.0,8.0,3.0,6.5,3.0,0.0
Quercus suber,8.33,8.0,3.0,3.0,3.0,0.0
Quercus trojana,7.0,8.0,3.0,6.0,2.0,0.0
Radiola linoides,8.0,,,3.8,2.0,0.29
Ramonda myconi,7.5,2.8,4.0,6.8,2.1,0.0
Ranunculus aconitifolius,6.6,3.67,7.5,5.2,,0.0
Ranunculus acris aggr.,,,,5.7,4.42,0.0
Ranunculus alpestris,8.8,1.83,,7.7,3.1,0.0
Ranunculus amplexicaulis,8.5,2.5,4.5,3.0,1.5,0.0
Ranunculus angulatus,7.0,5.0,8.0,7.0,5.0,0.0
Ranunculus apenninus,8.0,3.0,3.0,7.0,1.0,0.0
Ranunculus aquatilis,7.5,,11.12,,,0.21
Ranunculus arvensis,6.9,,4.2,7.7,6.14,0.0
Ranunculus asiaticus,8.0,10.0,2.0,7.5,6.0,0.5
Ranunculus auricomus aggr.,,,6.57,7.0,6.2,0.0
Ranunculus batrachioides,9.0,9.0,8.0,2.0,4.0,0.0
Ranunculus bilobus,8.0,3.0,3.0,7.0,2.0,0.0
Ranunculus brevifolius,8.5,5.5,3.5,6.5,3.0,0.0
Ranunculus breyninus,8.33,3.72,4.94,7.0,3.0,0.0
Ranunculus brutius,4.0,4.0,6.0,7.0,6.0,0.0
Ranunculus bulbosus,,,3.9,6.5,2.89,0.0
Ranunculus bullatus,7.67,9.0,3.67,6.7,,0.0
Ranunculus cabrerensis,9.0,3.0,3.0,3.0,1.0,
Ranunculus carinthiacus,8.0,3.0,3.75,7.3,2.25,0.0
Ranunculus carpaticus,6.5,2.75,6.5,,,
Ranunculus cassubicifolius,,7.0,,,,
Ranunculus caucasicus,5.5,4.25,6.75,,,
Ranunculus chius,7.62,,6.81,6.3,4.33,0.0
